example_id                                     | status | run_time        |
---------------------------------------------- | ------ | --------------- |
./spec/integrations/post_inter_spec.rb[1:1:1]  | passed | 0.02409 seconds |
./spec/integrations/post_inter_spec.rb[1:1:2]  | passed | 0.02079 seconds |
./spec/integrations/post_inter_spec.rb[1:1:3]  | passed | 0.02423 seconds |
./spec/integrations/post_inter_spec.rb[1:1:4]  | passed | 0.02031 seconds |
./spec/integrations/post_inter_spec.rb[1:1:5]  | passed | 0.022 seconds   |
./spec/integrations/post_inter_spec.rb[1:1:6]  | passed | 0.02873 seconds |
./spec/integrations/post_inter_spec.rb[1:1:7]  | passed | 0.02173 seconds |
./spec/integrations/post_inter_spec.rb[1:1:8]  | passed | 0.02254 seconds |
./spec/integrations/post_inter_spec.rb[1:1:9]  | passed | 0.0317 seconds  |
./spec/integrations/post_inter_spec.rb[1:1:10] | passed | 0.03741 seconds |
./spec/integrations/post_inter_spec.rb[1:2:1]  | passed | 0.01645 seconds |
./spec/integrations/post_inter_spec.rb[1:2:2]  | passed | 0.01304 seconds |
./spec/integrations/post_inter_spec.rb[1:2:3]  | passed | 0.01526 seconds |
./spec/integrations/post_inter_spec.rb[1:2:4]  | passed | 0.01391 seconds |
./spec/integrations/post_inter_spec.rb[1:2:5]  | passed | 0.01423 seconds |
./spec/integrations/post_inter_spec.rb[1:2:6]  | passed | 0.01314 seconds |
./spec/integrations/post_inter_spec.rb[1:2:7]  | passed | 0.01136 seconds |
./spec/integrations/user_inter_spec.rb[1:1:1]  | passed | 0.01163 seconds |
./spec/integrations/user_inter_spec.rb[1:1:2]  | passed | 0.00886 seconds |
./spec/integrations/user_inter_spec.rb[1:1:3]  | passed | 0.01236 seconds |
./spec/integrations/user_inter_spec.rb[1:1:4]  | passed | 0.02015 seconds |
./spec/integrations/user_inter_spec.rb[1:2:1]  | passed | 0.00876 seconds |
./spec/integrations/user_inter_spec.rb[1:2:2]  | passed | 0.00892 seconds |
./spec/integrations/user_inter_spec.rb[1:2:3]  | passed | 0.01023 seconds |
./spec/integrations/user_inter_spec.rb[1:2:4]  | passed | 0.07514 seconds |
./spec/integrations/user_inter_spec.rb[1:2:5]  | passed | 0.01256 seconds |
./spec/integrations/user_inter_spec.rb[1:2:6]  | passed | 0.00926 seconds |
./spec/integrations/user_inter_spec.rb[1:2:7]  | passed | 0.0295 seconds  |
./spec/integrations/user_inter_spec.rb[1:2:8]  | passed | 0.03289 seconds |
./spec/models/comments_spec.rb[1:1]            | passed | 0.00442 seconds |
./spec/models/like_spec.rb[1:1]                | passed | 0.01555 seconds |
./spec/models/post_spec.rb[1:1]                | passed | 0.00227 seconds |
./spec/models/post_spec.rb[1:2]                | passed | 0.00248 seconds |
./spec/models/post_spec.rb[1:3]                | passed | 0.00208 seconds |
./spec/models/post_spec.rb[1:4]                | passed | 0.0013 seconds  |
./spec/models/post_spec.rb[1:5]                | passed | 0.01985 seconds |
./spec/models/user_spec.rb[1:1]                | passed | 0.00235 seconds |
./spec/models/user_spec.rb[1:2]                | passed | 0.00194 seconds |
./spec/models/user_spec.rb[1:3]                | passed | 0.02106 seconds |
./spec/requests/posts_request_spec.rb[1:1:1]   | passed | 0.01342 seconds |
./spec/requests/posts_request_spec.rb[1:1:2]   | passed | 0.01434 seconds |
./spec/requests/posts_request_spec.rb[1:1:3]   | passed | 0.01572 seconds |
./spec/requests/posts_request_spec.rb[1:2:1]   | passed | 0.01099 seconds |
./spec/requests/posts_request_spec.rb[1:2:2]   | passed | 0.01152 seconds |
./spec/requests/posts_request_spec.rb[1:2:3]   | passed | 0.01277 seconds |
./spec/requests/users_request_spec.rb[1:1:1]   | passed | 0.01104 seconds |
./spec/requests/users_request_spec.rb[1:1:2]   | passed | 0.00987 seconds |
./spec/requests/users_request_spec.rb[1:1:3]   | passed | 0.0092 seconds  |
./spec/requests/users_request_spec.rb[1:2:1]   | passed | 0.00999 seconds |
./spec/requests/users_request_spec.rb[1:2:2]   | passed | 0.01019 seconds |
./spec/requests/users_request_spec.rb[1:2:3]   | passed | 0.01135 seconds |
